P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
00CA3E97,C,1998,,0,0
77A5A089,J,2003,11,67,12
00CA3E94,C,2002,13,22,10
353D9FBB,C,2011,,0,0
03311D41,J,1949,,0,0
6DE2C7F4,J,2015,,0,0
23EAE469,C,1966,,0,0
77A5A081,J,2014,,0,0
77A5A080,J,2007,,0,0
77A5A085,J,2010,,0,0
35B8204B,C,2007,,0,0
7B971E42,J,1980,33,31,14
7715E35E,J,2007,9,46,10
75AC82D0,J,1980,34,16,15
75AC82D1,C,2011,2,1,1
7B971E49,J,2000,15,37,13
7B971E48,C,1998,,0,0
56BFC762,C,1999,,0,0
75AC82D8,J,1980,20,12,8
801D68BF,J,2009,5,5,3
08A443C8,J,1937,,0,0
841A56F0,C,2003,,0,0
7A14CB94,J,1980,16,3,3
826D5ED2,C,2014,,0,0
16A42019,C,2010,,0,0
7F1E26AA,C,1983,,0,0
80FB4237,C,2005,,0,0
08A443C4,C,1983,,0,0
80FB4235,J,1989,24,12,12
826D5ED5,C,1996,,0,0
7631924A,J,2008,,0,0
332A1C6F,C,2012,,0,0
78C094B1,J,2005,,0,0
16944672,C,2014,,0,0
78C094B7,J,2003,11,7,6
7E71C1A2,C,2015,,0,0
02CF764E,C,2010,,0,0
7631924D,J,2006,2,2,1
067B3F14,J,1989,,0,0
78C094BA,J,1993,22,1,1
78C094BC,J,2013,2,8,2
72F5F5DC,C,2003,,0,0
78C094BD,J,2005,9,36,10
79CE6FA7,J,1993,20,9,8
25CAE9FC,C,1929,,0,0
072BFDA4,C,1987,,0,0
16A4201E,C,1996,,0,0
0DC16401,C,1978,,0,0
7E365659,J,2009,7,11,6
7B971E4A,J,2015,1,2,2
75E2B131,J,1992,21,3,3
7B971E4B,C,2011,2,1,1
75AC82DC,C,1980,,0,0
75E2B135,J,2012,2,3,2
75E2B134,J,1923,,0,0
79CE6FA3,J,2004,,0,0
75E2B139,J,2009,6,3,3
6FD591F0,C,2011,,0,0
7FE3C78C,J,2007,6,3,2
03311D4E,C,1979,,0,0
5D482444,C,1972,,0,0
77A5A08C,J,2007,7,5,3
7FB1525D,J,1975,38,5,5
58B98973,C,2003,,0,0
7577A9E9,J,1996,19,17,10
77A5A08F,J,2007,7,8,6
02CF7640,C,2004,,0,0
77A5A08D,J,2008,,0,0
785CF4D2,J,1967,30,8,8
785CF4D0,J,2013,2,1,1
81463988,J,2005,,0,0
06E4F389,C,1982,,0,0
81E624F2,C,1995,,0,0
46B75959,C,1930,,0,0
785CF4D8,C,2012,,0,0
06E4F380,C,1957,,0,0
02D70843,C,2012,,0,0
85B985E4,C,2000,,0,0
82DD6F32,C,2014,,0,0
72E194FC,J,2008,,0,0
85B985E0,C,2008,,0,0
82DD6F39,C,2001,,0,0
76CCF93D,J,2008,6,18,6
7B5881DA,J,2010,,0,0
6D261F67,C,2009,,0,0
7E71C1AB,J,2011,3,1,1
7DE2F846,C,2003,11,4,3
7C020D45,J,2012,,0,0
0048FA8C,C,2005,,0,0
7738FC5A,J,2013,,0,0
7738FC5B,J,1948,47,1,1
7C020D49,C,2012,,0,0
61BC62D1,J,1975,,0,0
00F14FFF,C,1979,,0,0
5A9CFEF9,C,2001,,0,0
2568AA93,C,1888,,0,0
7FE3C783,J,2012,3,12,4
14CC662D,C,2012,,0,0
7F179A6E,C,2002,11,13,9
22AA0863,C,1998,,0,0
7F179A69,C,1968,,0,0
00F14FF3,C,2011,,0,0
22AA086D,C,2001,,0,0
008C96A0,C,1986,,0,0
22AA086F,C,1962,,0,0
5A9CFEFD,C,2013,,0,0
7738FC59,C,2014,,0,0
7C020D4E,J,2007,,0,0
7C020D4F,J,1973,,0,0
7DE2F84B,J,2008,8,64,8
7C020D4A,J,1980,29,1,1
245F1A5D,C,2003,,0,0
7F0AB01F,J,2015,,0,0
7F0AB01B,J,2008,,0,0
85B985ED,C,2004,,0,0
7B5881D9,J,2014,0,1,1
7B5881D8,J,1956,,0,0
85B985EB,C,1933,,0,0
7B5881D5,J,1998,5,1,1
049942A7,C,2013,,0,0
76CCF934,J,1976,31,23,13
76CCF933,C,1995,,0,0
76CCF930,J,1986,,0,0
81E624FE,C,2015,,0,0
785CF4DE,C,2013,,0,0
2588BEF6,C,1927,,0,0
59BA49A3,C,2015,,0,0
0CC13A61,C,2010,,0,0
80FB4231,J,2015,,0,0
84AF6708,C,2008,,0,0
02263257,C,1998,,0,0
5976DC3A,J,1976,21,81,21
5BA7F99A,C,1996,9,1,1
75A408B8,J,1987,,0,0
5F16C689,C,2010,,0,0
7A844B9A,J,1942,,0,0
194730D5,C,2012,,0,0
84AF6702,C,1994,,0,0
84AF6703,C,2013,,0,0
6A02DCAD,C,2002,12,22,9
7A844B9F,J,2002,9,2,2
1409B8F2,C,1977,,0,0
84BE272E,C,1924,,0,0
1409B8F0,C,1981,,0,0
757399F1,J,2011,4,9,5
757399F4,J,2011,2,5,2
757399F5,J,1991,15,5,5
757399F8,J,2010,4,6,3
611596F5,J,1986,,0,0
6C8B9CA0,C,2015,,0,0
13A4122A,C,2015,,0,0
7C15EB95,J,1993,,0,0
59D9E197,C,2001,,0,0
05ECE897,C,2009,,0,0
05ECE896,C,2014,,0,0
7C15EB98,J,2007,,0,0
59AE465B,C,1987,,0,0
7B393693,J,1895,,0,0
5F5BF4DA,C,2013,,0,0
7715E355,J,1991,19,19,14
7B393694,J,1932,2,1,1
8058E6F4,C,2003,,0,0
184A5A4A,C,1992,,0,0
82071AD0,C,2003,,0,0
184A5A4E,C,2014,,0,0
8058E6F3,J,2007,8,25,9
7B39369C,C,2013,,0,0
5F5BF4D3,C,2014,,0,0
8058E6FD,C,2013,,0,0
8058E6FF,J,1950,,0,0
5F5BF4D9,C,2010,,0,0
0C07B205,C,2004,,0,0
8058E6FC,C,2012,,0,0
13A41220,J,1996,,0,0
7553C66F,J,2001,14,39,14
7C15EB9B,J,1968,,0,0
5AC0D5F6,C,2013,,0,0
7D2407E8,J,2004,8,14,8
00E8405D,C,2008,,0,0
005A0B52,C,1995,,0,0
36B429A6,J,2006,,0,0
59AE4651,C,2014,,0,0
58CE3494,C,2012,,0,0
757399FC,J,1997,,0,0
757399FA,C,2012,,0,0
757399FF,J,2000,14,10,7
84BE2722,C,1920,,0,0
757399FE,J,1983,27,15,10
0C1DC0B2,C,2009,,0,0
5976DC30,C,1988,,0,0
2DC04FD4,C,2009,,0,0
84D9EFF4,C,2007,,0,0
3CD4CCE4,C,1998,,0,0
194730DD,C,1967,,0,0
84AF670A,C,1998,,0,0
7D07C3A9,J,2006,7,14,6
75A408BF,J,2013,2,8,2
75A408BA,C,1905,,0,0
75A408BC,C,2010,,0,0
7A844B96,J,1991,,0,0
0BB522E5,C,2000,,0,0
46D4A258,C,1993,,0,0
071581FC,C,1997,8,1,1
3C057393,C,1933,,0,0
16B07244,C,2010,,0,0
010CF948,J,1998,,0,0
7AAA1228,J,1998,17,25,9
0EFB5539,C,2012,,0,0
2541498C,C,2015,,0,0
7AC4D574,C,2014,1,1,1
7AC4D577,J,2013,,0,0
7AC4D570,J,1985,30,16,12
2168E9C9,C,2007,,0,0
7FF1F127,C,2004,,0,0
58E22F34,C,2010,,0,0
7AC4D579,J,1976,38,2,2
03C10EC9,C,2002,,0,0
7FF1F122,J,1978,,0,0
85CA6289,C,2003,,0,0
85CA6288,C,2013,,0,0
7BDB8F16,J,2004,10,6,6
7BDB8F17,J,1979,34,2,2
7BDB8F13,C,2013,1,1,1
02EA8C2A,C,1976,,0,0
7F2D5B2C,J,2013,,0,0
7BDB8F18,J,1999,9,5,4
85CA6284,C,1929,,0,0
85CA6287,C,2011,,0,0
7F2D5B2E,C,2012,,0,0
02EA8C29,J,2007,7,2,1
3C2132F6,C,2011,,0,0
08944B93,C,2007,,0,0
7577A9E6,J,2012,3,13,4
05ADD386,C,1980,,0,0
7F2D5B20,C,1938,,0,0
85CA628B,C,1999,,0,0
3C2132F8,C,2012,,0,0
85CA628D,C,2006,,0,0
75BFC7A6,J,1990,,0,0
758FA3B4,J,1991,,0,0
7AC4D57D,J,1999,16,35,15
758FA3B6,J,1967,47,29,19
7FD96AFF,J,2010,4,2,2
758FA3B1,J,2000,7,1,1
758FA3B2,C,2003,10,5,5
7AC4D57B,J,2005,10,32,9
2630BB97,C,1998,,0,0
2630BB93,C,2003,4,1,1
71A3C028,C,2006,,0,0
7AAA122F,J,1996,,0,0
3DD2485C,C,2014,,0,0
46B267ED,C,2015,,0,0
7779C47A,J,2008,2,2,2
0BB522ED,C,1974,,0,0
696C4DD7,C,1996,,0,0
5C82E54A,J,2013,,0,0
778CE00B,J,1969,,0,0
228CF748,C,2009,,0,0
778CE00F,J,1986,25,3,3
0711382D,C,2012,,0,0
778CE00E,J,1992,,0,0
6784DDC0,C,2012,,0,0
2374BA82,C,1998,17,99,17
228CF741,C,1981,,0,0
3982782D,C,1998,,0,0
75C525C7,J,2014,,0,0
75A6CD92,J,1996,19,47,18
45AF321C,C,2008,,0,0
75A6CD97,J,2010,5,34,5
75A6CD94,J,1981,1,1,1
0A7DDF1E,C,2011,,0,0
75BAF901,J,1987,9,3,3
75BAF902,J,2009,3,2,2
78A4E41E,J,2014,2,4,2
75BAF904,J,2015,,0,0
58793C62,C,2005,,0,0
58793C61,C,2004,,0,0
833FC3AE,C,1934,,0,0
833FC3AA,C,2013,,0,0
833FC3AB,C,1970,,0,0
2367C7E9,C,1985,,0,0
7CDDE805,C,2014,,0,0
763B2817,J,2005,9,5,3
272A2326,C,2011,,0,0
754847BD,J,1997,17,3,3
763B2813,J,2011,,0,0
246FA59F,C,2007,,0,0
7E8A84EF,C,2004,9,4,3
7E8A84ED,C,2012,2,1,1
7E8A84EE,J,2011,4,11,4
349D72BC,C,2009,,0,0
8091AA12,J,2010,4,7,4
21B6B873,C,1998,,0,0
82C729DC,C,2003,,0,0
1160F46F,J,2005,,0,0
7E8A84E9,C,2007,,0,0
7827A560,J,1997,13,12,6
7E8A84E4,C,2011,0,4,1
7E8A84E0,C,2012,,0,0
7E8A84E1,J,2008,8,67,8
833FC3A4,C,2009,,0,0
2367C7EC,C,1988,16,3,2
62A065A0,C,1979,,0,0
77C13BFF,J,2001,14,23,11
45046F70,C,2014,,0,0
0896E3C0,C,1990,,0,0
7B5EA51C,J,2001,14,7,6
728FDC1A,C,2006,,0,0
04397923,C,1984,,0,0
75A6CD9D,J,1993,13,1,1
78A4E416,J,1986,29,96,25
7553E49E,J,1979,,0,0
78A4E414,J,2001,14,16,9
0A7DDF16,C,1990,,0,0
78A4E412,J,1998,5,1,1
807AEB9D,J,2015,0,2,1
0A7DDF13,C,1990,,0,0
7553E49C,J,2007,,0,0
778CE001,J,1997,11,14,7
