P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
76F6A4F6,J,2006,9,57,9

0220404F,C,2004,,0,0

76F6A4F5,C,2012,,0,0

76F6A4F3,J,1997,,0,0

77116E50,J,1998,16,3,3

76F6A4F8,J,2008,,0,0

7E7C3EC9,J,1985,30,141,29

1A3A1263,C,2012,,0,0

7539D49C,C,2002,,0,0

84A90BD7,C,1924,,0,0

3B9CE691,C,2015,,0,0

5CD1495E,C,2011,,0,0

256DA641,C,1990,,0,0

5E931BBA,C,2006,,0,0

133A35DD,J,2010,,0,0

25E504EF,J,2000,,0,0

25E504EB,C,1982,27,5,5

85CC882F,J,1977,,0,0

77116E58,J,2005,,0,0

77116E59,C,2014,,0,0

83896863,J,1970,6,1,1

7539D499,J,1989,8,2,2

83C25630,C,1989,,0,0

83896867,C,2009,,0,0

552E5FFA,J,1990,,0,0

5CD14953,C,2007,,0,0

7539D490,J,2014,1,1,1

7539D496,J,1995,12,1,1

5CD14955,C,2015,,0,0

76F6A4FD,J,2000,,0,0

76F6A4FB,C,2005,,0,0

75950B0E,J,2014,,0,0

76ABC4F6,J,2012,3,10,3

60F871AC,C,2009,1,1,1

773A5A84,J,2002,13,8,7

773A5A82,J,2015,0,1,1

7D50EC85,C,1970,,0,0

78FF482B,J,1987,5,4,3

76E3662F,J,1971,42,9,8

78FF482F,J,1983,32,120,31

78FF482E,C,2014,,0,0

00ACC2C9,C,1995,,0,0

586BD471,C,2001,,0,0

690B040C,C,2004,10,3,3

6A87D832,J,2014,,0,0

77511136,J,1982,32,29,18

076B14DE,C,2015,,0,0

569EC4D9,C,2011,,0,0

812C4710,C,1988,,0,0

09135237,C,2013,,0,0

1424D49A,C,2006,,0,0

36A71522,C,2010,,0,0

09135232,C,2012,,0,0

7ADC89DF,J,2014,2,3,2

7F4426CC,J,1990,19,8,5

7ADC89DE,J,2004,11,11,8

7ADC89DB,J,2015,0,2,1

7E0A9E45,J,2006,8,10,5

62FA9909,C,1989,,0,0

7EA5814B,J,2008,3,1,1

2DB197E0,C,1989,,0,0

7EA5814D,J,2006,10,53,10

62FA9904,J,1844,,0,0

6DC28EAA,C,2007,,0,0

7EA58143,J,1995,19,9,7

7C6749FD,C,2012,,0,0

59AE3D91,C,1964,,0,0

21CC6F8F,C,1990,,0,0

7F21BB89,C,2015,,0,0

8128DAD4,C,1993,,0,0

5C55CEEB,C,2014,,0,0

812C471B,C,1969,,0,0

181387D3,C,1992,,0,0

73D5C6D5,C,2015,,0,0

134A0A32,C,2009,6,2,2

7F4426C2,J,1940,,0,0

7ADC89D7,J,1975,,0,0

7F4426C0,J,2005,2,1,1

7ADC89D5,J,1977,3,3,3

7F4426C4,C,1988,,0,0

5ED20E19,C,2012,,0,0

8167573A,J,1999,12,16,11

189A40DD,C,2002,,0,0

7C6749FC,J,1973,39,1,1

784F5785,J,2009,,0,0

23C69B13,C,1999,,0,0

138E3779,C,2015,,0,0

76E36621,J,1999,,0,0

690B0408,C,1990,,0,0

78FF4824,J,1979,35,6,5

00ACC2CE,C,2007,,0,0

76E36629,J,2010,5,2,1

586BD47D,C,2010,,0,0

75D11160,J,1979,30,4,3

77ECF857,C,2006,,0,0

0759E67C,C,2004,,0,0

02F2372E,C,2008,,0,0

18913387,C,2013,,0,0

777213C9,J,2010,,0,0

7F4F94A8,J,2006,9,27,8

0759E67F,C,2010,,0,0

775D9657,J,2006,,0,0

777213C6,J,1875,,0,0

777213C0,J,1995,20,20,14

777213C2,J,2013,2,4,2

82829709,C,2009,,0,0

2D7A72C8,C,2006,,0,0

0C7733CF,C,1999,15,13,7

0E025885,C,2011,,0,0

7C710774,J,2008,,0,0

7C87FDBC,J,2012,3,14,3

75624DA6,J,2001,8,6,5

03F71646,C,2007,,0,0

7CE34517,J,2012,,0,0

7CE34510,J,1989,26,31,15

03F71641,J,2000,13,10,9

019F8A6F,C,1990,2,1,1

1177AB27,C,2011,,0,0

7F588AD7,J,1967,48,46,27

03F71648,C,2012,,0,0

5C73B798,C,2006,,0,0

7333A8DE,C,2013,0,3,1

154B5577,J,1990,2,1,1

80B107C7,C,2007,0,1,1

75571C58,J,2013,,0,0

75571C57,J,2009,,0,0

75571C56,J,2004,11,5,4

847C782D,C,2004,,0,0

75571C51,J,1976,,0,0

75571C50,J,2013,2,11,2

80B107CE,J,2000,,0,0

73EAED34,C,2015,,0,0

80B107CF,C,1989,,0,0

7E9210F0,C,2003,11,14,7

5C73B79F,J,2006,9,35,8

7CE3451F,C,1956,,0,0

57392E5A,C,2008,,0,0

7CE3451B,C,2014,,0,0

7CE3451C,J,2014,1,1,1

43818A32,C,2011,,0,0

74E54AA0,C,2011,,0,0

7B8E5871,J,2012,3,8,3

0C7733C6,C,2003,,0,0

233DE520,C,2001,8,1,1

220132B1,C,1977,,0,0

2185FD49,C,2005,,0,0

7990D85C,J,1991,,0,0

0A352E42,J,1994,,0,0

7C71077A,J,2010,,0,0

7C71077B,J,2012,,0,0

748A4B83,J,2012,4,7,5

12331BAE,J,1991,15,4,4

777213CE,J,2003,,0,0

0AB9E0C2,C,1998,,0,0

777213CC,J,1983,,0,0

61C55C69,C,2014,,0,0

5F23C4A0,C,2014,,0,0

0EEC8DA2,C,1970,,0,0

82A4C733,C,2000,,0,0

81FDC512,C,2012,,0,0

81FDC513,C,2003,,0,0

218D1D62,C,1990,,0,0

18340E20,C,1998,,0,0

218D1D61,C,2004,,0,0

7590538C,C,1983,,0,0

24559FD8,C,1990,26,87,22

7B54F8F2,J,2011,4,8,4

5BFEE9F9,C,2001,,0,0

2D0257DD,C,1939,,0,0

5BFEE9F2,J,1987,11,2,2

24559FD0,C,1945,65,3,3

0A315B78,C,1995,,0,0

01211214,C,2006,,0,0

5AB3D7AB,C,2008,,0,0

5AB3D7AA,C,2005,,0,0

01211210,C,1994,,0,0

21F7B8EB,J,2008,,0,0

80825BFA,J,2015,,0,0

08604D3A,C,1952,,0,0

05FFBAA6,C,1985,,0,0

21B18D1C,C,2003,,0,0

21B18D1A,C,2004,,0,0

041D07E3,C,2015,,0,0

248EDEF1,C,1999,15,9,7

3921302C,C,2009,,0,0

77B3C59E,J,2000,13,6,6

248EDEFE,C,2004,,0,0

248EDEFF,C,1961,,0,0

7C059AF7,J,2007,6,2,2

7AF4B2A3,J,1991,21,5,5

0121121D,C,2008,3,1,1

043637B9,C,1989,,0,0

234D197A,C,2005,,0,0

30434AE0,C,2014,,0,0

30434AE2,C,2012,,0,0

08604D38,C,2013,,0,0

80825BF5,C,1999,4,2,2

072B98E2,C,2013,,0,0

80825BF7,J,2012,,0,0

072B98E0,C,2008,,0,0

043637B6,C,2007,,0,0

08604D31,C,2016,,0,0

80825BF2,J,2009,6,25,6

7B54F8FD,J,1985,13,7,4

7B54F8FF,J,1985,,0,0

224D0AD9,C,1949,,0,0

2D2C40C4,C,1923,,0,0

5D301E7F,C,2013,,0,0

1561D9BC,C,2010,,0,0

2D0257D2,C,2001,,0,0

00027DF1,C,2014,,0,0

00027DF7,C,2006,,0,0

71593C69,C,1973,,0,0

75DA0C4C,J,1931,,0,0

218D1D6D,C,2011,,0,0

305CA57A,C,1960,,0,0

218D1D6C,C,1977,,0,0

30998020,C,2003,,0,0

79184E98,J,1990,9,2,2

7DCEC85C,J,1993,22,410,22

79184E93,C,2011,,0,0

63649EF0,C,2004,,0,0

5F798FFA,C,2011,,0,0

74C4CA55,C,2002,12,3,3

7DCEC85D,J,1995,19,72,17

7CFFB4CA,J,2009,5,18,6

79620189,J,2014,,0,0

7CFFB4CC,J,2011,,0,0

75FB3E25,J,2014,,0,0

0A61809F,C,2003,,0,0

2661DCEC,C,1917,,0,0

85E333FA,C,1966,,0,0

637B16F2,C,1988,,0,0

2661DCED,C,2014,0,3,1

5CE2804D,J,2015,,0,0

065455DF,J,2008,,0,0

71ECF1AE,J,1989,19,5,5

6CD69B60,C,2009,,0,0

763C8D75,J,1976,37,8,7

72876180,C,2000,,0,0

763C8D71,J,1989,26,3,3

5C440569,C,2000,,0,0

763C8D73,J,1989,25,26,15

6CB302F8,C,1856,,0,0

5C44056E,J,2015,,0,0

806A7225,J,2014,1,12,2

102487AD,C,2001,,0,0

6CB302F5,C,2003,,0,0

2661DCE3,C,2006,,0,0

2661DCE1,C,1973,,0,0

62283BFA,C,2009,,0,0

71ECF1A1,C,1991,,0,0

71ECF1A5,C,2011,,0,0

5E2434B9,C,2011,,0,0

7CFFB4C3,C,2012,3,1,1

7CFFB4C2,J,1967,,0,0

7CFFB4C5,J,2007,,0,0

7CFFB4C4,C,2013,,0,0

10BEB2CC,C,1974,,0,0

0A618094,C,2003,5,3,3

7A771B3C,J,1995,,0,0

7D4FA11E,J,2009,2,2,2

7DCEC852,J,2011,3,1,1

79184E9C,J,1993,21,9,8

79184E9B,J,1972,,0,0

859706C7,C,2011,,0,0

78180C4F,J,2011,,0,0

859706C3,C,2001,,0,0

81B8549B,C,2014,,0,0

57E7951C,C,2002,,0,0

22BB1BFC,C,1950,,0,0

246087DA,C,1999,,0,0

70F23541,C,2013,,0,0

7AF5F418,J,1993,,0,0

179516E4,C,1873,,0,0

77116E5D,J,2004,11,6,5

7BBFF275,J,1998,3,4,2

179516E3,C,2014,,0,0

7EB2E9F0,J,2005,11,49,10

6E370E90,C,1991,6,1,1

77116E5F,J,2002,7,3,2

7EB2E9F6,C,1973,,0,0

772C76AB,J,2007,7,9,5

83D8B825,C,2008,,0,0

791CC569,J,1966,,0,0

8425386E,C,1997,,0,0

772C76AD,J,2008,5,3,2

76A65BA4,J,1983,,0,0

79423450,J,1980,35,10,6

78DBAA32,C,2014,,0,0

78DBAA35,J,1962,,0,0

83D8B829,C,2010,,0,0

76A65BA3,J,2013,3,21,4

5BBDEAC4,C,2014,,0,0

78D8CF84,J,2008,2,1,1

84253863,J,1992,,0,0

772C76A7,J,1973,39,203,30

84A90BDF,C,2010,,0,0

5976C532,C,1973,,0,0

19E82EF5,C,2011,,0,0

19E82EF7,C,2011,,0,0

78DBAA3F,C,1996,,0,0

7B71A08A,J,1952,17,1,1

08A142B2,C,2009,,0,0

7BBFF27B,J,1999,14,5,4

179516EC,C,2001,,0,0

5F364685,C,2011,3,1,1

77B3C594,C,2010,,0,0

793EB4F0,C,2014,,0,0

0E4F22D2,C,2009,,0,0

79752EF3,J,2007,,0,0

63BFDE5C,C,2002,,0,0

63BFDE5B,C,1985,,0,0

859706CE,C,2011,,0,0

461D70BF,C,2003,9,1,1

63BFDE5F,C,1997,,0,0

859706CA,C,1939,,0,0

22BB1BF7,C,2001,1,1,1

25BA2384,C,1912,,0,0

25BA2381,C,2004,,0,0

57E79514,C,2015,,0,0

25BA2383,C,1977,35,6,4

22BB1BF0,C,2013,,0,0

67A8EF7F,C,2012,,0,0

86149F42,C,1998,,0,0

86149F43,C,2006,,0,0

86149F44,C,1967,,0,0

86149F45,J,2009,,0,0

86149F46,C,2014,,0,0

86149F47,C,1968,,0,0

090BB3AE,C,1845,,0,0

78D99A5E,J,2004,11,33,11

6D9C75B1,C,2015,,0,0

5DE5F5F9,C,2014,,0,0

03DE2374,C,2011,,0,0

22B7B877,C,1999,,0,0

83C3E1ED,C,1970,,0,0

7EF08EE5,C,2009,1,1,1

7D295018,J,2007,,0,0

62F5F4CC,C,2002,,0,0

2F1C163E,J,1986,,0,0

55EC940B,C,2015,,0,0

5DE5F5F4,C,2014,,0,0

358477C6,C,2002,,0,0

80B96675,J,2006,10,62,10

80B96672,J,2000,15,71,16

858A2E4C,C,1993,,0,0

0F535867,C,1996,,0,0

7A0FBFBF,C,2014,0,1,1

118A12AA,C,1995,,0,0

2C9B225D,C,1999,,0,0

7931FEAA,J,1994,,0,0

7931FEAB,J,2003,11,5,5

60EDE27E,C,1993,20,4,4

75103F44,J,1976,,0,0

7931FEAF,J,1990,24,4,4

25515E46,C,2008,,0,0

7962BEF2,C,2014,1,1,1

1844C165,C,1986,,0,0

7EC2F72E,J,2015,1,4,2

1844C168,C,2012,,0,0

81AD7BD9,C,2009,5,8,5

7931FEA5,J,1977,34,29,16

8248C2C5,C,2011,,0,0

